Type;Memory;OpenVZ;query_cache_size;query_cache_limit;PHP_threads;table_open_cache;thread_cache_size;max_heap_table_size;tmp_table_size;key_buffer_size;join_buffer_size;sort_buffer_size;bulk_insert_buffer_size;myisam_sort_buffer_size;innodb_buffer_pool_size;MySQL_Memory;Full_Memory;Delta
1;512;openvz;16;2;4;1024;8;8;8;4;1;1;1;1;32;64;576;-64
1;512;general;16;2;4;2048;32;16;16;8;1;1;1;1;64;100;612;-100
2;1024;openvz;48;4;6;2048;16;24;24;24;2;2;1;2;64;166;934;90
2;1024;general;48;4;6;4096;32;48;48;24;4;4;1;4;128;254;1022;2
3;1536;openvz;64;4;8;4048;32;32;32;12;4;4;2;4;128;284;1308;228
3;1536;general;96;4;8;8096;64;96;96;12;4;4;2;4;256;444;1468;68
4;2048;openvz;96;4;10;8096;48;64;64;16;4;4;2;4;256;468;1748;300
4;2048;general;128;8;10;8096;96;96;96;24;4;4;2;4;384;636;1916;132
5;3072;openvz;128;8;12;8096;64;96;96;24;8;8;2;8;512;880;2416;656
5;3072;general;128;16;14;8096;96;128;128;32;8;8;2;8;768;1180;2972;100
6;4096;openvz;128;16;16;8096;64;128;128;32;6;6;2;6;768;1152;3200;896
6;4096;general;128;16;18;8096;96;128;128;48;8;8;2;8;1024;1524;3828;268
7;5120;openvz;128;16;18;8048;96;128;128;48;10;10;2;10;1024;1596;3900;1220
7;5120;general;128;16;22;8096;128;128;128;64;12;12;2;12;1536;2300;5116;4
8;6144;openvz;128;16;20;10240;128;128;128;64;12;12;2;12;1536;2248;4808;1336
8;6144;general;128;16;24;10240;128;128;128;64;14;14;2;14;2048;2960;6032;112
9;8192;openvz;128;16;24;10048;128;128;128;64;12;12;2;12;2048;2864;5936;2256
9;8192;general;128;16;30;12288;128;128;128;96;14;14;2;14;3072;4196;8036;156
10;16384;openvz;128;16;48;12288;128;128;128;96;16;16;2;16;4096;5952;12096;4288
10;16384;general;128;16;60;14336;128;128;128;96;18;18;2;18;6144;8648;16328;56
11;24576;openvz;128;16;60;14336;128;128;128;128;16;16;2;16;6144;8440;16120;8456
11;24576;general;128;16;80;14336;128;128;128;196;24;24;2;24;10240;14564;24804;-228
12;32768;openvz;128;16;80;14336;128;128;128;196;24;24;2;24;8192;12516;22756;10012
12;32768;general;128;16;100;14336;128;128;128;196;24;24;2;24;14336;19660;32460;308
13;65536;openvz;128;16;120;18432;256;128;128;256;24;24;2;24;12288;18672;34032;31504
13;65536;general;128;16;180;18432;512;128;128;256;32;32;2;32;18432;30696;53736;11800
14;75536;openvz;128;16;180;18432;512;128;128;256;32;32;2;32;18432;30696;53736;11800
14;75536;general;128;16;220;18432;512;128;128;256;32;32;2;32;24576;39480;67640;-2104
